sentence,attribute,entity,entity_offset,attribute_value,attribute_value_offset
你还记诗人杜甫吗杜甫（712－770），字子美，汉族，唐朝河南巩县（今河南郑州巩义市）人，自号少陵野老，唐代伟大的现实主义诗人，与李白合称“李杜”,字,杜甫,5,子美,21
你还记诗人杜甫吗杜甫（712－770），字子美，汉族，唐朝河南巩县（今河南郑州巩义市）人，自号少陵野老，唐代伟大的现实主义诗人，与李白合称“李杜”,朝代,李白,65,唐朝,27
周剑波，男，汉族,民族,周剑波,0,汉族,6
个人资料刘斌，1998年5月2日出生，山东人，身高183cm，体重70kg,身高,刘斌,4,183cm,25
李伟，男，汉族，1963年6月出生，硕士研究生，现任湖北工业大学机械工程学院教授，硕士生导师,民族,李伟,0,汉族,5
宗泽（1060年1月20日—1128年7月29日），字汝霖，汉族，婺州义乌（今浙江义乌）人，宋朝名将,民族,宗泽,0,汉族,30
宗泽（1060年1月20日—1128年7月29日），字汝霖，汉族，婺州义乌（今浙江义乌）人，宋朝名将,字,宗泽,0,汝霖,27
宗泽（1060年1月20日—1128年7月29日），字汝霖，汉族，婺州义乌（今浙江义乌）人，宋朝名将,朝代,宗泽,0,宋朝,46
在宋英宗想有所振作改新的氛围下，韩琦的思想显得有些保守，未实行大的改革举措，也未能彻底扭转北宋的境况,朝代,韩琦,16,北宋,45
毛泽东（1893年12月26日－1976年9月9日），字润之（原作咏芝，后改润芝），笔名子任,字,毛泽东,0,咏芝,33
更有些人不明白前蜀王建有徐妃号花蕊夫人，后蜀孟昶有费妃亦号花蕊夫人，不考一考是王是孟，为徐为费，就说费氏是弄错了的,朝代,孟昶,22,后蜀,20
白居易：诗魔白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑,字,白居易,0,乐天,22
胡伟，男，汉族，阜阳师范学院法律专业，本科学历，安徽萧县人，1968年10月出生，1989年7月参加工作，1991年10月入党,民族,胡伟,0,汉族,5
《吝啬鬼》是1973年上映的法国影片，由René Lucot执导，米歇尔·奥蒙特、伊莎贝尔·阿佳妮主演,上映时间,吝啬鬼,1,1973年,6
韩侂胄与史弥远前后折腾了近四十年，南宋后期的衰颓走势已不可逆转,朝代,史弥远,4,南宋,17
韩侂胄与史弥远前后折腾了近四十年，南宋后期的衰颓走势已不可逆转,朝代,韩侂胄,0,南宋,17
中文名：奥利弗·斯蒂尔勒国籍：德国出生地：斯图加特出生日期：1983年6月13日身高：176cm体重：66kg运动项目：足球所属运动队：拜仁慕尼黑青年队,身高,奥利弗·斯蒂尔勒,4,176cm,43
"《爱一直闪亮》由Chompoo Araya, Chai Chattayodom, Great Warintorn等主演，是2009-07-29开播的泰国电视剧",上映时间,爱一直闪亮,1,2009-07-29,61
子目夷，子姓，名目夷，字子鱼，是春秋时人，宋微子的十七世孙，宋襄公的庶兄,字,目夷,1,子鱼,12
中文名： 纳瓦夫·哈利迪 外文名： Nawaf Khaldi 国籍： 科威特 出生地： 科威特 出生日期： 1981-05-25 身高： 181厘米 体重： 70公斤 运动项目： 足球 所属运动队： 科威特 场上位置： 门将,身高,纳瓦夫·哈利迪,5,181厘米,69
赵锋，男，汉族，1963年1月出生，甘肃金塔人，1981年7月参加工作，1986年6月加入中国共产党，中央党校在职大学学历（中央党校函授学院法律专业）,民族,赵锋,0,汉族,5
《龙马风云录》是日本东京广播公司为迎接1997年新春拍摄的一部单集电视剧，于当年元旦首播,上映时间,龙马风云录,1,1997年,19
岑兴旺，男，布衣族，1974年9月出生，贵州盘县人，中共党员，1998年8月参加工作，毕业于西南林学院，大学专科学历,民族,岑兴旺,0,布衣族,6
刘肇（79年―105年2月3日1），即汉和帝（88年—105年在位），东汉第四位皇帝，建初四年（79年）出生，汉章帝刘炟第四子，生母为梁贵人，过继给皇后窦氏为继子,朝代,刘炟,58,东汉,35
刘肇（79年―105年2月3日1），即汉和帝（88年—105年在位），东汉第四位皇帝，建初四年（79年）出生，汉章帝刘炟第四子，生母为梁贵人，过继给皇后窦氏为继子,朝代,刘肇,0,东汉,35
童麻边，男，景颇族，云南省陇川县人，1967年7月出生于陇川县，大学专科学历（云南大学行政管理专业脱产），1994年8月加入中国共产党，1988年9月参加工作，现任陇川县陇把镇党委书记,民族,童麻边,0,景颇族,6
詹建标，男，1957年2月生，汉族，籍贯、出生地湛江坡头，1974年9月参加工作，1986年10月入党，大专学历（广东广播电视大学法律专业）,民族,詹建标,0,汉族,15
公元347年，成汉被东晋桓温所灭，历5主，共43年,朝代,桓温,12,东晋,10
贺桂祥，男，汉族，1960年11月出生， 甘肃省庆城县人，中央党校大专文化程度，1977年3月参加工作，1986年12月加入中国共产党,民族,贺桂祥,0,汉族,6
故事虽提及楚王，但并未说明是哪一位楚王，《吕氏春秋·孟春纪·贵公》甚至连楚王都未提及，只说是一个楚国人，刘向在《说苑·至公》一书中说楚王指楚共王，后来的《艺文类聚·卷六十·军器部》中又说弓是“乌号之弓”,朝代,楚共王,69,春秋,23
”3孙和（224年－253年），字子孝，三国时期吴国皇太子、南阳王，吴大帝孙权第三子，母王夫人（大懿皇后）,朝代,孙和,2,三国,20
”3孙和（224年－253年），字子孝，三国时期吴国皇太子、南阳王，吴大帝孙权第三子，母王夫人（大懿皇后）,字,孙和,2,子孝,17
阔里吉思，元代蒙古贵族元世祖忽必烈的外孙,民族,阔里吉思,0,蒙古,7
魏智茂，男，汉族，湖北巴东人，1978年8月出生，大学本科学历,民族,魏智茂,0,汉族,6
简介王海淼，男，汉族，1968年12月生，安徽阜阳人，1984年10月参加工作，1987年5月加入中国共产党，在职大学学历,民族,王海淼,2,汉族,8
后来杨业所守的古城非常危急了，杨业劝北汉皇帝刘继元投降，来保全性命,朝代,杨业,2,北汉,18
唐朝吴道子画马，栩栩如生，他这时异想天开，他要画第八匹马，他想：一定是四脚朝天，同时又给人以随时就可以跳起奔跑这个气氛,朝代,吴道子,2,唐朝,0
《最后一次驱魔》是由丹尼尔·斯坦执导，帕特里克·法比安、阿什丽·贝尔、路易斯·赫特哈姆主演的惊悚电影，于2010年8月27日在美国上映,上映时间,最后一次驱魔,1,2010年8月27日,52
人物简介惠恭皇后王氏(1084—1108年)，德州刺史王藻之女，宋徽宗赵佶的皇后，汉族人，生于河南省开封市,民族,惠恭皇后,4,汉族,41
人物简介惠恭皇后王氏(1084—1108年)，德州刺史王藻之女，宋徽宗赵佶的皇后，汉族人，生于河南省开封市,民族,王藻,27,汉族,41
"以上分享了俞敏洪老婆年轻照片及资料信息,新东方创始人俞敏洪老婆杨桂青给他的事业带来很大的支持,成功归功于妻子没完没了的唠叨,成功是被老婆吼出来的",创始人,新东方,20,俞敏洪,5
布达克Ufuk Budak，1990-05-26，场上位置：前卫，身高：180厘米，体重：公斤，惯用脚：双脚，出生地：海登海姆（德国），国籍：德国，代表国家队：出场5次，进0球,身高,布达克,0,180厘米,36
《绿色地带》是由保罗·格林格拉斯执导，马特·达蒙、格雷戈·金尼尔主演的战争动作电影，于2010年3月12日在美国上映,上映时间,绿色地带,1,2010年3月12日,43
个人简介杨良臣（1461～1528），字顺卿，号南庄，即墨人,字,杨良臣,4,顺卿,20
刘全永，男，汉族，中共党员，副教授,民族,刘全永,0,汉族,6
《陆士龙文集校注（全二册）》是2011年凤凰出版社出版的图书，作者是西晋陆云,字,陆云,36,士龙,2
2008年，首登荧屏主演《金甲战士》，这是他的第一部男主角出演的电视剧，随后z主演《还珠格格2》和爱情公寓成名，PS（作为一个饰演角色比他本人更出名的经典案例）万能的网友从这幅图就可以看出广大观众对他的喜爱，但作为活跃在一线的职业演员，对于别人对他饰演角色和演技的调侃，李佳航也表示大家要注意他的演技,上映时间,金甲战士,13,2008年,0
高昊饰演的刘启剧照吕后之子刘盈继刘邦之位为汉惠帝，在位仅七年便早逝，遂吕后为了自己能够更高的掌控朝权，在公元前188年，便拥立刘盈嫡长子刘恭为西汉第三代帝王,朝代,刘启,5,西汉,71
高昊饰演的刘启剧照吕后之子刘盈继刘邦之位为汉惠帝，在位仅七年便早逝，遂吕后为了自己能够更高的掌控朝权，在公元前188年，便拥立刘盈嫡长子刘恭为西汉第三代帝王,朝代,刘恭,68,西汉,71
高昊饰演的刘启剧照吕后之子刘盈继刘邦之位为汉惠帝，在位仅七年便早逝，遂吕后为了自己能够更高的掌控朝权，在公元前188年，便拥立刘盈嫡长子刘恭为西汉第三代帝王,朝代,刘邦,16,西汉,71
播出信息播出频道《岁月风云》作为香港回归十周年献礼剧将于2007年06月30日晚上在中央电视台电视剧频道（CCTV8）首播，并于2007年07月16日于翡翠台及海外华语市场同步播出,上映时间,岁月风云,9,2007年06月30日,28
姓名：阿维里·约翰英文名：AveryJohn生日：1975-06-18场上位置：左后卫身高：183厘米体重：77公斤惯用脚：左脚出生地：波因特福廷（特立尼达和多巴哥）国籍：特立尼达和多巴哥曾效力球队：华盛顿特区联足球俱乐部，新英格兰革命足球俱乐部，谢尔本足球俱乐部，朗福德足球俱乐部,身高,阿维里·约翰,3,183厘米,46
A·迪美亚，荷兰人，生于1988年10月22日，身高为182cm，体重为81kg，英文名是AykutDemir，一名后卫，现效力于根克勒比利吉球队,身高,a·迪美亚,-1,182cm,27
韦弋，男，汉族，安徽巢湖人，1964年4月出生，1985年8月参加工作，1985年7月入党，大学文化,民族,韦弋,0,汉族,5
马学义，男，汉族，1955年7月生，山东梁山人，1972年12月参加工作，1974年9月加入中国共产党，南京陆军指挥学院军事高科技专业在职大学毕业,民族,马学义,0,汉族,6
汪克宪(1808—1864)，字小原，号彝堂，又号石樵、心远，仁怀坛厂乡人,字,汪克宪,0,小原,16
胡双连 男，汉族，大学文化，娄底优秀教育工作者，双峰县中等农职业技术学党支部校书记，中学高级教师,民族,胡双连,0,汉族,6
港影“代言人”：旧时光香港电影第九十八趴：堕落天使 (1995)香港电影：那个时代的港片，也成了一代人心中不可磨灭的经典,上映时间,堕落天使,21,1995,27
（记者张芹报道）2  年10月9日，《武汉晨报》A02版以文《唐良智：要借园博会提升城市环境》提及钟伟桃关于规划建设武汉园林博览会的建议，同时被人民网、中国日报网、网易、搜狐网等网站转载,民族,张芹,3,汉,20
《纸人》是2012年迪士尼动画工作室出品动画短片，于当年11月2日贴片《无敌破坏王》在北美地区上映，John Kahrs执导，John Kahrs、凯瑞·华格伦等主演,上映时间,无敌破坏王,36,2012年,5
梅洪元，男，满族，1958年7月出生于营口市，中共党员，研究生学历，工学博士，教授，博士生导师，国家一级注册建筑师，全国工程勘察设计大师，现任哈尔滨工业大学建筑学院院长、学位委员会主席，哈尔滨工业大学建筑设计研究院院长、总建筑师,民族,梅洪元,0,满族,6
《不负天职》是2009年出品 的一部电视剧，导演是姚雷,上映时间,不负天职,1,2009年,7
如果说三国演义中忠义无双的代表是关羽，那第二位绝对是赵云，无论是当初被描绘得十分“弃暗投明”的跟随刘备，还是长坂坡七进七出保护阿斗，再到拦江夺回后主，赵云对刘备的忠心真是天地可鉴,朝代,刘备,49,三国,3
巴思八[元]僧,朝代,巴思八,0,元,4
周行，字宾示，号鹿野，漳港人，嘉靖三十一年(1552)举人，选授广东香山县知县,字,周行,0,宾示,4
她效仿唐朝女皇武则天，于1986年“称帝”，建“大圣王朝”，还封“大臣”、建“后宫”，刻“国印”和“地方州县印”,朝代,武则天,7,唐朝,3
释函可（1611-1659），字祖心，号剩人，俗姓韩，名宗騋，广东博罗人,字,释函可,0,祖心,16
范柏乃，男，汉族，1965年4月生，浙江兰溪人,民族,范柏乃,0,汉族,6
奥敦希恺，著名元朝大臣，女真族，奥敦保和之长子,民族,奥敦希恺,0,女真族,12
关注清朝历史的人，应该对和珅这个人物并不陌生,朝代,和珅,12,清朝,2
白玉南徽，女，汉族，大学文化（毕业于中国农业大学网络教育学院法学专业），1984年12月生，2006年12月参加工作，2005年5月加入中国共产党，云南省马关县人，现任中共马关县委组织部电教股股长（科员）,民族,白玉南徽,0,汉族,7
钟红莲，女，1967年生，辽宁大连人，女子足球运动员，守门员，身高1．72米，中小学时是学校田径、篮球队队员,身高,钟红莲,0,1．72米,33
何洪深，男，汉族，山东省泰安县人,民族,何洪深,0,汉族,6
卢虎，男，布依族，1975年8月生，籍贯贵州六枝，1997年10月参加工作，2000年10月加入中国共产党，省委党校大专学历，现任六枝特区卫生监督所办公室主任，拟提名任六枝特区卫生监督所副所长（试用期一年）,民族,卢虎,0,布依族,5
李建成：男，汉族，1964年5月出生，河北崇礼县人，研究生毕业，无党派人士，1985年7月参加工作,民族,李建成,0,汉族,6
旋向荣死，清廷命和春为江南大营钦差大臣，张国梁帮办军务,朝代,张国梁,20,清,5
马钱德 是 比利时 的足球运动员，英文名 YannickMarchand，出生于 1988年8月15日 ，身高174厘米,身高,马钱德,0,174厘米,55
尹占军，男，汉族，1966年4月生，1991年7月参加工作，1987年6月入党，哈尔滨师范大学学校教育专业大学毕业，硕士，教授,民族,尹占军,0,汉族,6
5史书记载鲍照2，字明远，东海人,字,鲍照,5,明远,10
2012年出演《复仇者联盟》由于长相帅气，一脸正气阳光的面容、一身脱衣有肉穿衣显瘦的好身材，劲爆的身材加上精致的五官，也俘获了全世界无数女人的心,上映时间,复仇者联盟,8,2012年,0
戴庆林，男，汉族，辽宁省沈阳市人，内蒙古农科院研究员，北京农业大学毕业,民族,戴庆林,0,汉族,6
吉米·布拉德（Jimmy Bullard），英格兰足球运动员1978年10月23日出生，身高178cm，体重73,身高,吉米·布拉德,0,178cm,46
而这七年，也是陈建斌事业飞跃的七年，从2006年的《乔家大院》到《三国》再到《甄嬛传》，陈建斌一跃成了国内一线实力派演员,上映时间,乔家大院,26,2006年,19
臧霸，字宣高，费县方城镇一带人，先从吕布，后侍曹操，后期成为曹操手下著名大将,字,臧霸,0,宣高,4
李晗，男，汉族，中共党员，出生于1962年8月，研究生学历，高级经济师,民族,李晗,0,汉族,5
《血，总是热的》是文彦导演的影视作品，上映时间是1983年,上映时间,血，总是热的,1,1983年,24
彭仲刚(1143—1194)字子复，金舟乡彭堡(今郊外办事处彭家堡)人,字,彭仲刚,0,子复,15
球员:古亚诺生日:1993年12月24日身高:186cm体重:78 kg球衣号码:999国籍:法国效力球队:尤文图斯,身高,古亚诺,3,186cm,23
金庚石，1937年1月生，吉林延吉人，朝鲜族，1960年毕业于延边大学语言文学系，延边日报社编委新闻研究室主任，《新闻研究》、《新闻写作》主编，高级编辑,民族,金庚石,0,朝鲜族,19
《法律与秩序：犯罪倾向》于2001年开始播出，是首播于1990年的美国电视史上播映时间最长犯罪剧集《法律与秩序》的三部姐妹剧之一,上映时间,法律与秩序：犯罪倾向,1,2001年,13
杜文灵，女，安徽淮北人，汉族，1952年11月出生，1969年11月加入中国共产党，1969年11月参加工作，安徽劳动大学政治系毕业，大学普通班学历，现任淮北市人大常委会副主任、党组成员,民族,杜文灵,0,汉族,12
基本资料球员:博拉坚  生日:1980年1月20日  身高:190cm  体重:88kg  球衣号码:27  国籍:俄罗斯  效力球队:辛历克  场上位置:守门球队阵容前锋  E,身高,博拉坚,7,190cm,30
如果张裕猜得准确的话，邓芝大约171年前后出生，《三国志》中曾记载，邓芝曾被宗预指责七十岁了还不放弃兵权，11所以综合来看邓芝生年在168—177年范围内，死的时候大约在80岁,朝代,邓芝,11,三国,25
当年她与焦恩俊、刘晓庆、林湘萍、刘希媛等合作拍摄的古装神话剧《宝莲灯前传》为央视八套2009年最高收视，而她也因为这部戏被众人所熟知,上映时间,宝莲灯前传,31,2009年,42
1品牌文化标识雅马哈的Logo标志是雅马哈品牌的象征，由创始人山叶寅楠的姓氏——山叶的英文字母与音叉组合而成,创始人,雅马哈,7,山叶寅楠,31
刘胜，东汉颍川阳翟(今禹州)人，字季陵,朝代,刘胜,0,东汉,3
基本介绍郝旭东，男，汉族，1968 年3 月出生，陕西绥德人，1986年7 月参加工作，1989 年7 月加入中国共产党，研究生学历，现任中共延川县委常委、政法委书记,民族,郝旭东,4,汉族,10
罗倩雪，女，壮族，1968年1月生，河池市金城江区人，2011年1月入党，1989年7月参加工作，中央党校函授政法专业，大学学历,民族,罗倩雪,0,壮族,6
金科，男，汉族，1972年6月生，42岁，1991年7月参加工作，1997年6月入党，北方交通大学铁道运输专业大学毕业，硕士学位，副教授，现任黑龙江交通职业技术学院机车车辆系主任，拟任齐齐哈尔技师学院（中国一重技师学院）党委副书记、纪委书记,民族,金科,0,汉族,5
黄鸥，男，，1981年11月汉族生（32岁），内江市中区人，2000年8月参加工作，2002年6月加入中国共产党，高教自考四川师范大学汉语言文学专业毕业，在职大学学历,民族,黄鸥,0,汉族,14
黄鸥，男，，1981年11月汉族生（32岁），内江市中区人，2000年8月参加工作，2002年6月加入中国共产党，高教自考四川师范大学汉语言文学专业毕业，在职大学学历,民族,文学,70,汉族,14
黄鸥，男，，1981年11月汉族生（32岁），内江市中区人，2000年8月参加工作，2002年6月加入中国共产党，高教自考四川师范大学汉语言文学专业毕业，在职大学学历,民族,黄鸥,0,汉,14
张洁，女，汉族，1975年9月出生，1992年12月参加工作，甘肃武都人，大学学历，中共党员,民族,张洁,0,汉族,5
张洁，女，汉族，1975年9月出生，1992年12月参加工作，甘肃武都人，大学学历，中共党员,民族,张洁,0,汉,5
2006年的电视剧《封神榜之凤鸣岐山》中，刘涛饰演“嫦娥”，吴磊饰演“哪吒”，那年，吴磊年仅7岁，刘涛28岁,上映时间,封神榜之凤鸣岐山,10,2006年,0
”四，名噪一时，权倾朝野的明珠纳兰明珠（1635年—1708年），字端范，满洲正黄旗人，康熙朝重臣，历任内务府总管、刑部尚书、兵部尚书、都察院左都御史、武英殿大学士、太子太傅等要职,字,纳兰明珠,15,端范,34
插画作者：倪海涵辛弃疾，原字坦夫，改字幼安，别号稼轩,字,辛弃疾,8,坦夫,14
插画作者：倪海涵辛弃疾，原字坦夫，改字幼安，别号稼轩,字,辛弃疾,8,幼安,19
吴晓丽，女，壮族，1973年11月生，广西壮族自治区东兰县人，1995年3月加入中国共产党，1995年7月参加工作，华中科技大学公共管理专业毕业，研究生学历，公共管理硕士学位,民族,吴晓丽,0,壮族,6
个人简历：  何丹妮，女，1989年9月出生，壮族，广西龙州县人，2007年参加工作，在职大专学历，现任龙州县接待办接待员,民族,何丹妮,7,壮族,23
基本资料球员:艾斯宾路拿  生日:1973年9月15日  身高:182cm  体重:74kg  加盟日期:2007-7  球衣号码:4  国籍:阿根廷  效力球队:沙兰迪兵工厂  场上位置:后卫球队阵容前锋  迭戈,身高,艾斯宾路拿,7,182cm,32
范亚文，女，生于1965年5月29日，汉族，民盟,民族,范亚文,0,汉族,19
瓦剌用英宗来威胁明朝，以于谦为首的主战派当然不能忍，严词拒绝，但他们一直说风凉话，于是朱祁钰被立为新皇帝，这下彻底绝了瓦剌的心思,朝代,于谦,12,明朝,8
”白苏古郎是个蒙古族小伙，今年29岁，但制作马头琴已有10年,民族,白苏古郎,1,蒙古族,7
路易斯·罗宾逊·伦特里亚·奎斯塔是一名哥伦比亚籍足球运动员，1980年4月7日出生于哥伦比亚乔科省基布多市，身高170cm，体重72kg，最近效力于委内瑞拉扎莫拉俱乐部，司职前锋，惯用脚为右脚,身高,路易斯·罗宾逊·伦特里亚·奎斯塔,0,170cm,56
《生活向前冲》（Go On，又译《走出艳阳天》）是一部于美国时间2012年8月8日在全国广播公司（NBC）首播的情景美剧,上映时间,生活向前冲,1,2012年8月8日,32
《周璇》是中国大陆1996年播出的剧情、音乐、历史类电视剧，由潘霞导演，王戈情编制,上映时间,周璇,1,1996年,9
”2）人物金象  [清]道士,朝代,金象,5,清,10
人物简介陶旭，男，汉族，1955年生，辽宁省沈阳市人，现定居北京,民族,陶旭,4,汉族,9
人物简介黄彪 (恩石山人) 男，汉族，1964年6月6日生，文学学士学位，当代中国画画家,民族,黄彪,4,汉族,16
胡开宝，男，汉族，1965 年出生，中共党员，大学本科文化，高级经济师、高级工程师,民族,胡开宝,0,汉族,6
吴成，男，汉族，1962年8月出生，四川乐至人，四川农业大学农学专业毕业，农学硕士,民族,吴成,0,汉族,5
张丹力1，汉族，1955年生，西安市人，1985年12月加入中国共产党，1974年3月参加工作，硕士研究生文化程度，正高职高级工程师,民族,张丹力,0,汉族,5
宇文护虽然口口声声说要霸业也要般若最终也被般若说服，只要心还在对方身上，嫁与不嫁又何妨堂堂北周第一权臣宇文护，把所有的心软，万般的柔情都给了独孤般若一个人只是因为 “你就仗着我喜欢你,朝代,宇文护,0,北周,45
韩千军1，男，汉族，1970年10月出生，开张镇田营村人，大专学历，经济师,民族,张镇,22,汉族,7
2007年1月6日，由许晴、姜武、黄海波主演，由著名制作人吴军担任制片人的现代家庭伦理剧《石头、剪刀、布》在廊坊顺利关机,上映时间,石头、剪刀、布,45,2007年,0
1999年吴毅将与陈浩民、洪天明、邵美琪等主演时装警匪片《反黑先锋》，饰演反黑组干探高喜,上映时间,反黑先锋,29,1999年,0
南宋建炎四年（1130），宋高宗赵构来到越州，以“绍奕世之宏休，兴百年之丕绪”之意，将1131年改为绍兴元年，升越州为绍兴府,朝代,赵构,16,南宋,0
张泽新，男，汉族，湖北仙桃人，1966年9月出生，1992年6月加入中国共产党，1988年7月参加工作,民族,张泽新,0,汉族,6
《御前四宝》是2004年北京电影制片厂出品的一部原创清朝搞笑喜剧，由黄祖权、黄明升联合导演，赵文卓、陈怡蓉、刘仪伟等人主演,上映时间,御前四宝,1,2004年,7
周异决，男，壮族，1965年12月生，广西贵港人，1987年12月加入中国共产党，1988年6月参加工作，北京大学政府管理学院区域经济学专业毕业，在职研究生学历，经济学博士,民族,周异决,0,壮族,6
汪世明，男，汉族，云南昭阳人，1954年4月出生，大专学历（毕业于全国法院法律大学法律专业），1976年12月参加工作，1994年5月加入中国共产党，身体健康,民族,汪世明,0,汉族,6
王晨，男，汉族，1950年12月生，北京市人，1969年1月参加工作，1969年12月加入中国共产党，中国社会科学院研究生院新闻系新闻业务专业毕业，研究生学历，文学硕士学位，高级编辑,民族,王晨,0,汉族,5
王丽萍，性别，女，汉族，吉林大学大学教师，毕业于吉林大学,民族,王丽萍,0,汉族,9
王丽萍，性别，女，汉族，吉林大学大学教师，毕业于吉林大学,民族,王丽萍,0,汉,9
人物简介郭维山，男，汉族，1963年10月出生，1983年9月参加工作，1987年8月入党，党校专科学历，石门镇人，现任县政府副县长、党组成员、政协副主席、城乡建设局局长,民族,郭维山,4,汉族,10
章传强，男，汉族，1966年2月生，浙江淳安人，1993年9月加入中国共产党，1984年9月参加工作，中央党校大学学历,民族,章传强,0,汉族,6
张荣，男，汉族，1964年2月出生，江苏淮安人，1984年6月加入中国共产党，1986年7月参加工作,民族,张荣,0,汉族,5
田波（1919-1997），男，汉族，1919年8月生，抗战前忻中27班学生，上学时名田润霖，山西省忻县豆罗镇向阳村人,民族,田润霖,43,汉族,16
田波（1919-1997），男，汉族，1919年8月生，抗战前忻中27班学生，上学时名田润霖，山西省忻县豆罗镇向阳村人,民族,田波,0,汉,16
263年，曹魏的司马昭发动魏灭蜀之战，蜀汉灭亡，两年后司马昭病死，其子司马炎废魏元帝自立，国号“晋”，史称西晋，公元280年，西晋灭东吴，统一中国，至此三国时期结束，进入晋朝,朝代,司马炎,35,西晋,53
史籍记载战国时期古籍中之杨朱,朝代,杨朱,12,战国时期,4
就在近日，网传主角被换成杨蓉，杨蓉，1981年6月3日出生于云南保山，白族，中国内地女演员，毕业于上海戏剧学院97级表演系本科,民族,杨蓉,12,白族,35
出生于1994年的刘天意身高190cm，在场上司职后卫,身高,刘天意,9,190cm,14
周峥，男，汉族，1964年11月生，江西临川人，中共党员，教授，现任山东劳动职业技术学院党委委员、副院长,民族,周峥,0,汉族,5
刘一秒，思八达创始人、董事局主席、中国创业家联盟主席、全国创业促进委员会主任、三弦集团终生荣誉主席、三弦智慧文化董事长,创始人,思八达,4,刘一秒,0
陈安会，女，汉族，1970年10月出生，党校本科学历，1998年12月加入中国共产党，1991年8月参加工作，现任中共桐梓县委宣传部办公室主任,民族,陈安会,0,汉族,6
1996，在爱情剧《白昼之月》中饰演男主角,上映时间,白昼之月,10,1996,0
扬州大学大麦研究所所长许如根，男，1967年7月出生，汉族，江苏姜堰人，中共党员，博士，教授，博士生导师,民族,许如根,11,汉族,27
这里说的青藤，不是植物，而是明代绘画大师青藤老人徐渭,朝代,徐渭,24,明代,14
周作铁，男，壮族，1976年5月出生，广西田东人，1997年7月参加工作，2000年4月加入中国共产党，中国人民公安大学法学专业毕业，在职本科学历,民族,周作铁,0,壮族,6
为了不让老百姓负担加重，李世民在颁布政策时十分注意体恤民情，唐朝初年的所有赋税标准都比隋朝时轻，对于受灾地区一律免收赋税,朝代,李世民,12,唐朝,30
1991年上映的《终结者2》是该系列的经典，打破了好莱坞“续集不如前作”的魔咒，曾被影评人评为“电影史上最好的电影续集”,上映时间,终结者2,9,1991年,0
刘曾君，男，汉族，1957年11月生，湖北石首人，党校研究生，1999年9月毕业于省委党校经济管理专业，1973年9月参加工作，1979年6月入党，现任荆州市委常委、副市长,民族,曾君,1,汉族,6
刘曾君，男，汉族，1957年11月生，湖北石首人，党校研究生，1999年9月毕业于省委党校经济管理专业，1973年9月参加工作，1979年6月入党，现任荆州市委常委、副市长,民族,刘曾君,0,汉族,6
2000年11月，盛仕铭集团创始人李路梓先生于俄罗斯首都莫斯科创立“盛仕铭国际机构”,创始人,盛仕铭集团,9,李路梓,17
顾应祥（1483年－1565年），字惟贤，号箬溪，王阳明弟子、思想家、数学家,字,顾应祥,0,惟贤,18
比方梁朝伟和刘嘉玲都猖獗到大陆捞金，周星驰从2001年《少林足球》就在大陆拍影戏，《美人鱼》34亿的票房神话也是在大陆发明的,上映时间,少林足球,28,2001年,22
德米特罗·巴本科，英文名: Dmitro Babenko，生日: 1978-06-28，场上位置: 门将，惯用脚: 右脚，身高: 185cm，体重: 80kg，出生地: 卢甘斯克，国籍: 乌克兰,身高,德米特罗·巴本科,0,185cm,65
《民王》是2015年7月24日至9月18日日本朝日电视台播出的电视连续剧,上映时间,民王,1,2015年7月24日至9月18日,5
宋瑞兰，女，生于1962年，汉族，大学本科学历，中学高级职称，青岛58中学音乐教师，教龄27年，班主任工作5年,民族,宋瑞兰,0,汉族,14
陈晓勇，男，汉族，眼科学博士，北京大学第三医院副主任医师,民族,陈晓勇,0,汉族,6
玄武门之变是唐朝历史上一次有名的宫廷政变，李世民通过这次宫廷政变除了了太子李建成和齐王李元吉迫使唐高祖李渊让位顺利的成为了唐朝的第二任皇帝,朝代,李渊,51,唐朝,6
玄武门之变是唐朝历史上一次有名的宫廷政变，李世民通过这次宫廷政变除了了太子李建成和齐王李元吉迫使唐高祖李渊让位顺利的成为了唐朝的第二任皇帝,朝代,李建成,37,唐朝,6
玄武门之变是唐朝历史上一次有名的宫廷政变，李世民通过这次宫廷政变除了了太子李建成和齐王李元吉迫使唐高祖李渊让位顺利的成为了唐朝的第二任皇帝,朝代,李世民,21,唐朝,6
玄武门之变是唐朝历史上一次有名的宫廷政变，李世民通过这次宫廷政变除了了太子李建成和齐王李元吉迫使唐高祖李渊让位顺利的成为了唐朝的第二任皇帝,朝代,李元吉,43,唐朝,6
周本顺，男，汉族，1953年2月生，湖南溆浦人，1971年9月入党，1975年12月参加工作，武汉大学法学院宪法与行政法学专业毕业，在职研究生学历，法学博士学位，管理学博士学位，经济师,民族,周本顺,0,汉族,6
张丰发，男，汉族，1968年2月出生，安徽六安人,民族,张丰发,0,汉族,6
个人简介舒朦，35岁，土家族，中共党员，大学文化1,民族,舒朦,4,土家族,11
该剧主要讲述的是“怪侠一枝梅”县官厉之珏的行侠仗义故事，于2004年1月19日在香港无线电视翡翠台首播,上映时间,怪侠一枝梅,9,2004年1月19日,29
